[1;33mDATE AND TIME DETAILS: [0m

রবিবার 13 মার্চ 2022 02:45:41 পূর্বাহ্ণ +06


[0;31mCurrent Users : 
 [0m


mohammad :0           2022-03-12 03:13 (:0)


[0;31mCurrent Processess : 


[0mUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1 167944  9532 ?        Ss   মার্চ12   0:04 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [rcu_par_gp]
root           6  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [kworker/0:0H-events_highpri]
root           9  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [mm_percpu_wq]
root          10  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [rcu_tasks_rude_]
root          11  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [rcu_tasks_trace]
root          12  0.0  0.0      0     0 ?        S    মার্চ12   0:01 [ksoftirqd/0]
root          13  0.0  0.0      0     0 ?        I    মার্চ12   1:22 [rcu_sched]
root          14  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [migration/0]
root          15  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [idle_inject/0]
root          16  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [cpuhp/0]
root          17  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [cpuhp/1]
root          18  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [idle_inject/1]
root          19  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [migration/1]
root          20  0.3  0.0      0     0 ?        S    মার্চ12   4:29 [ksoftirqd/1]
root          22  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [kworker/1:0H-events_highpri]
root          23  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [cpuhp/2]
root          24  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [idle_inject/2]
root          25  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [migration/2]
root          26  0.0  0.0      0     0 ?        S    মার্চ12   0:01 [ksoftirqd/2]
root          28  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [kworker/2:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [cpuhp/3]
root          30  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [idle_inject/3]
root          31  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [migration/3]
root          32  0.0  0.0      0     0 ?        S    মার্চ12   0:02 [ksoftirqd/3]
root          34  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [kworker/3:0H-events_highpri]
root          35  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [kdevtmpfs]
root          36  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [netns]
root          37  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [inet_frag_wq]
root          38  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [kauditd]
root          39  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [khungtaskd]
root          40  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [oom_reaper]
root          41  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [writeback]
root          42  0.0  0.0      0     0 ?        S    মার্চ12   0:13 [kcompactd0]
root          43  0.0  0.0      0     0 ?        SN   মার্চ12   0:00 [ksmd]
root          44  0.0  0.0      0     0 ?        SN   মার্চ12   0:00 [khugepaged]
root          91  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [kintegrityd]
root          92  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [kblockd]
root          93  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [blkcg_punt_bio]
root          95  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [tpm_dev_wq]
root          97  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [ata_sff]
root          98  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [md]
root          99  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [edac-poller]
root         100  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [devfreq_wq]
root         101  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [watchdogd]
root         104  0.0  0.0      0     0 ?        I<   মার্চ12   0:07 [kworker/2:1H-events_highpri]
root         106  0.0  0.0      0     0 ?        S    মার্চ12   0:07 [kswapd0]
root         107  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [ecryptfs-kthrea]
root         109  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [kthrotld]
root         110  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [irq/122-aerdrv]
root         111  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [irq/123-aerdrv]
root         112  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [acpi_thermal_pm]
root         115  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [vfio-irqfd-clea]
root         117  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [mld]
root         118  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [ipv6_addrconf]
root         122  0.0  0.0      0     0 ?        I<   মার্চ12   0:08 [kworker/0:1H-events_highpri]
root         129  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [kstrp]
root         132  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [zswap-shrink]
root         138  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [charger_manager]
root         161  0.0  0.0      0     0 ?        I<   মার্চ12   0:06 [kworker/3:1H-events_highpri]
root         189  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [scsi_eh_0]
root         191  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [scsi_tmf_0]
root         192  0.0  0.0      0     0 ?        S    মার্চ12   0:00 [scsi_eh_1]
root         193  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [scsi_tmf_1]
root         196  0.0  0.0      0     0 ?        S    মার্চ12   1:21 [irq/51-DELL0789]
root         200  0.0  0.0      0     0 ?        I<   মার্চ12   0:06 [kworker/1:1H-events_highpri]
root         202  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [rmi4-poller]
root         203  0.0  0.0      0     0 ?        S    মার্চ12   0:27 [irq/127-i2c_hid]
root         230  0.0  0.0      0     0 ?        S    মার্চ12   0:01 [jbd2/sdb1-8]
root         231  0.0  0.0      0     0 ?        I<   মার্চ12   0:00 [ext4-rsv-conver]
root         275  0.0  0.3  78100 28112 ?        S<s  মার্চ12   0:05 /lib/systemd/systemd-journald
